作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
051503,ある夜の姉と弟,あるよのあねとおとうと,あるよのあねとおとうと,,,,,NDC K913,新字新仮名,なし,2017-11-20,2017-10-25,https://www.aozora.gr.jp/cards/001475/card51503.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　13,講談社,1977（昭和52）年11月10日,1983（昭和58）年1月19日第5刷,1977（昭和52）年11月10日第1刷,亀の子と人形,フタバ書院,1941（昭和16）年4月,,,,,,,,,特定非営利活動法人はるかぜ,酒井裕二,https://www.aozora.gr.jp/cards/001475/files/51503_ruby_63034.zip,2017-10-25,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/51503_63082.html,2017-10-25,ShiftJIS,JIS X 0208,0
052964,ある夜の星たちの話,あるよのほしたちのはなし,あるよのほしたちのはなし,,,,,NDC K913,新字新仮名,なし,2012-03-19,2014-09-16,https://www.aozora.gr.jp/cards/001475/card52964.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　4,講談社,1977（昭和52）年2月10日,1977（昭和52）年C第2刷,　,,,,,,,,,,,,特定非営利活動法人はるかぜ,富田倫生,https://www.aozora.gr.jp/cards/001475/files/52964_ruby_46821.zip,2013-08-02,ShiftJIS,JIS X 0208,3,https://www.aozora.gr.jp/cards/001475/files/52964_46832.html,2013-08-02,ShiftJIS,JIS X 0208,3
051119,あんずの花,あんずのはな,あんすのはな,,,,「おとぎの世界」1919（大正8）年5月,NDC K911,新字新仮名,なし,2013-12-15,2014-09-16,https://www.aozora.gr.jp/cards/001475/card51119.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　3,講談社,1977（昭和52）年1月10日,1981（昭和56）年1月6日第7刷,1977（昭和52）年1月10日第1刷,,,,,,,,,,,,ぷろぼの青空工作員チーム入力班,江村秀之,https://www.aozora.gr.jp/cards/001475/files/51119_ruby_51734.zip,2013-11-05,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/51119_51774.html,2013-11-05,ShiftJIS,JIS X 0208,0
053453,いいおじいさんの話,いいおじいさんのはなし,いいおしいさんのはなし,,,,,NDC K913,新字新仮名,なし,2013-05-29,2014-09-16,https://www.aozora.gr.jp/cards/001475/card53453.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　5,講談社,1977（昭和52）年3月10日,1977（昭和52）年3月10日第1刷,1979（昭和54）年7月1日第4刷　,,,,,,,,,,,,特定非営利活動法人はるかぜ,雪森,https://www.aozora.gr.jp/cards/001475/files/53453_ruby_50148.zip,2013-04-10,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/53453_50584.html,2013-04-10,ShiftJIS,JIS X 0208,0
052615,生きた人形,いきたにんぎょう,いきたにんきよう,,,,「サンデー毎日　7巻49号」1928（昭和3）年10月28日,NDC K913,新字新仮名,なし,2015-10-31,2015-09-01,https://www.aozora.gr.jp/cards/001475/card52615.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　6,講談社,1977（昭和52）年4月10日,1977（昭和52）年4月10日第1刷,1977（昭和52）年4月10日第1刷,未明童話集4,丸善,1930（昭和5）年7月,,,,,,,,,特定非営利活動法人はるかぜ,七草,https://www.aozora.gr.jp/cards/001475/files/52615_ruby_57385.zip,2015-09-01,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/52615_57433.html,2015-09-01,ShiftJIS,JIS X 0208,0
053454,生きている看板,いきているかんばん,いきているかんはん,,,,「早稲田文学」1927（昭和2）年11月,NDC K913,新字新仮名,なし,2014-01-31,2014-09-16,https://www.aozora.gr.jp/cards/001475/card53454.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　5,講談社,1977（昭和52）年3月10日,1977（昭和52）年3月10日第1刷,1978（昭和53）年C第2刷　,,,,,,,,,,,,特定非営利活動法人はるかぜ,江村秀之,https://www.aozora.gr.jp/cards/001475/files/53454_ruby_51915.zip,2013-12-14,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/53454_51932.html,2013-12-14,ShiftJIS,JIS X 0208,0
051504,生きぬく力,いきぬくちから,いきぬくちから,,,,「新児童文化　第1冊」1940（昭和15）年12月,NDC K913,新字新仮名,なし,2017-11-30,2017-10-25,https://www.aozora.gr.jp/cards/001475/card51504.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　13,講談社,1977（昭和52）年11月10日,1983（昭和58）年1月19日第5刷,1977（昭和52）年11月10日第1刷,生きぬく力,正芽社,1941（昭和16）年11月,,,,,,,,,特定非営利活動法人はるかぜ,酒井裕二,https://www.aozora.gr.jp/cards/001475/files/51504_ruby_63053.zip,2017-10-25,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/51504_63101.html,2017-10-25,ShiftJIS,JIS X 0208,0
051085,幾年もたった後,いくねんもたったのち,いくねんもたつたのち,,,,,NDC K913,新字新仮名,なし,2012-12-05,2014-09-16,https://www.aozora.gr.jp/cards/001475/card51085.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　3,講談社,1977（昭和52）年1月10日,1981（昭和56）年1月6日第7刷,1978（昭和53）年G第4刷,,,,,,,,,,,,ぷろぼの青空工作員チーム入力班,本読み小僧,https://www.aozora.gr.jp/cards/001475/files/51085_ruby_48919.zip,2012-09-28,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/51085_49013.html,2012-09-28,ShiftJIS,JIS X 0208,0
053022,石段に鉄管,いしだんにてっかん,いしたんにてつかん,,,,「文芸戦線」1924（大正13）年12月,NDC K913,新字新仮名,なし,2013-05-29,2014-09-16,https://www.aozora.gr.jp/cards/001475/card53022.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　5,講談社,1977（昭和52）年3月10日,1977（昭和52）年3月10日第1刷,1979（昭和54）年7月1日第4刷　,,,,,,,,,,,,特定非営利活動法人はるかぜ,雪森,https://www.aozora.gr.jp/cards/001475/files/53022_ruby_50149.zip,2013-04-10,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001475/files/53022_50585.html,2013-04-10,ShiftJIS,JIS X 0208,0
051072,石をのせた車,いしをのせたくるま,いしをのせたくるま,,,,「婦人之友」1921（大正10）年9月,NDC K913,新字新仮名,なし,2012-12-05,2014-09-16,https://www.aozora.gr.jp/cards/001475/card51072.html,001475,小川,未明,おがわ,みめい,おかわ,みめい,Ogawa,Mimei,著者,1882-04-07,1961-05-11,なし,定本小川未明童話全集　3,講談社,1977（昭和52）年1月10日,1981（昭和56）年1月6日第7刷,1978（昭和53）年G第4刷,,,,,,,,,,,,ぷろぼの青空工作員チーム入力班,本読み小僧,https://www.aozora.gr.jp/cards/001475/files/51072_ruby_48918.zip,2013-08-24,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/001475/files/51072_49014.html,2013-08-24,ShiftJIS,JIS X 0208,1
